Name,FieldTime,FID,Shape Area,LavaFlow
7,4-May-18,0,15.91717022,LavaFlow
7,4-May-18,1,102.4691513,LavaFlow
7,4-May-18,2,26942.50964,LavaFlow
3,4-May-18,3,277.1563216,LavaFlow
3,4-May-18,4,1124.736361,LavaFlow
3,4-May-18,5,377.4212405,LavaFlow
3,4-May-18,6,22.61885478,LavaFlow
3,4-May-18,7,95.01035894,LavaFlow
4,4-May-18,8,487.0696377,LavaFlow
4,4-May-18,9,578.7980083,LavaFlow
1,4-May-18,10,2887.500744,LavaFlow
5,4-May-18,11,427.4693918,LavaFlow
5,4-May-18,12,95.5475033,LavaFlow
5,4-May-18,13,0.07497808,LavaFlow
5,4-May-18,14,109.0269204,LavaFlow
5,4-May-18,15,32.98062245,LavaFlow
5,4-May-18,16,485.2553284,LavaFlow
5,4-May-18,17,81.11714936,LavaFlow
5,4-May-18,18,62.90097331,LavaFlow
5,4-May-18,19,118.1852341,LavaFlow
5,4-May-18,20,11.42804759,LavaFlow
6,4-May-18,21,7.315409461,LavaFlow
6,4-May-18,22,2716.357555,LavaFlow
6,4-May-18,23,31.23357567,LavaFlow
7,5-May-18,24,139.9451154,LavaFlow
8,5-May-18,25,245352.7527,LavaFlow
10,6-May-18,26,4877.364513,LavaFlow
10,6-May-18,27,2331.741138,LavaFlow
9,6-May-18,28,2841.551353,LavaFlow
9,6-May-18,29,16232.32189,LavaFlow
8,6-May-18,30,14971.62198,LavaFlow
8,6-May-18,31,73.12988284,LavaFlow
8,6-May-18,32,413.3690949,LavaFlow
8,6-May-18,33,77.85079426,LavaFlow
8,6-May-18,34,42.53758948,LavaFlow
8,6-May-18,35,17.02038905,LavaFlow
8,6-May-18,36,0.104803515,LavaFlow
8,6-May-18,37,20.51836613,LavaFlow
8,6-May-18,38,33.85301891,LavaFlow
8,6-May-18,39,15.33430849,LavaFlow
7,6-May-18,40,22899.94701,LavaFlow
8,6-May-18,41,57.32568309,LavaFlow
8,6-May-18,42,3.07008382,LavaFlow
8,6-May-18,43,4.776546465,LavaFlow
8,6-May-18,44,8.354243317,LavaFlow
7,6-May-18,45,716.6105766,LavaFlow
8,6-May-18,46,33.42942577,LavaFlow
7,6-May-18,47,306.5769468,LavaFlow
8,6-May-18,48,25.9109682,LavaFlow
7,6-May-18,49,38.3654683,LavaFlow
8,6-May-18,50,134.5882068,LavaFlow
7,6-May-18,51,480.048377,LavaFlow
7,6-May-18,52,107.2115631,LavaFlow
7,6-May-18,53,367.6987395,LavaFlow
7,6-May-18,54,82.75482975,LavaFlow
7,6-May-18,55,163.4991062,LavaFlow
8,6-May-18,56,88.07308345,LavaFlow
8,6-May-18,57,8.616970124,LavaFlow
8,6-May-18,58,342.7304589,LavaFlow
8,6-May-18,59,28.2661142,LavaFlow
8,6-May-18,60,7971.83791,LavaFlow
8,6-May-18,61,5361.130171,LavaFlow
8,6-May-18,62,55429.12838,LavaFlow
11,8-May-18,63,8269.00287,LavaFlow
14,7-May-18,64,2388.575244,LavaFlow
14,7-May-18,65,33.898834,LavaFlow
14,7-May-18,66,99.83988265,LavaFlow
14,7-May-18,67,60.19971404,LavaFlow
14,7-May-18,68,709.1453031,LavaFlow
14,7-May-18,69,106.1350297,LavaFlow
14,7-May-18,70,4.906137966,LavaFlow
14,7-May-18,71,5.16539214,LavaFlow
14,7-May-18,72,29.11631839,LavaFlow
14,7-May-18,73,34.30705867,LavaFlow
