objectid,type,name,managedby,island,gis_acre
1,ws,MOKUPUKU ISLET SEABIRD SANCTUARY,DOFAW,Hawaii,1.29068615
2,ws,PAOKALANI ISLET SEABIRD SANCTUARY,DOFAW,Hawaii,4.14153516
3,fr,PUU WAAWAA FOREST RESERVE,DOFAW,Hawaii,37712.3392
4,p,FREEMAN SEABIRD PRESERVE,National Audubon Society,Oahu,0.96557453
5,nhp,KALOKO-HONOKOHAU NATIONAL HISTORICAL PARK,USNPS,Hawaii,1188.68745
6,mil,POHAKULOA TRAINING AREA RESERVATION (KEAMUKU SEC),US Army,Hawaii,22973.41063
131,tnc,KAU PRESERVE (NATURE CONSERVANCY),TNC,Hawaii,567.5031688
7,fr,ROUND TOP FOREST RESERVE,DOFAW,Oahu,102.9350291
8,sw,PUAA KAA STATE WAYSIDE,DOSP,Maui,1.64829694
13,sra,MALAEKAHANA STATE RECREATION AREA (LAIE SEC.),DOSP,Oahu,74.10311154
14,ws,PULEMOKU ISLET SEABRID SANCTUARY,DOFAW,Oahu,0.59244557
15,ws,KUKUIHOOLUA ISLET SEABIRD SANCTUARY,DOFAW,Oahu,1.62285259
9,fr,KAU FOREST RESERVE (KAMILO SECTION),DOFAW,Hawaii,1325.603788
10,sra,MALAEKAHANA STATE RECREATION AREA (KAHUKU SEC.),DOSP,Oahu,36.32287468
11,ws,KIHEWAMOKU ISLET SEABIRD SANCTUARY,DOFAW,Oahu,0.66490038
12,ws,MOKUAUIA ISLET SEABIRD SANCTUARY,DOFAW,Oahu,12.41933037
198,ws,KEAOI  ISLET SEABIRD SANCTUARY,DOFAW,Hawaii,1.00939008
16,sw,LAIE POINT STATE WAYSIDE,DOSP,Oahu,3.52932626
17,ws,MOKUALAI ISLET SEABIRD SANCTUARY,DOFAW,Oahu,0.50694204
18,shs,PUU O MAHUKA HEIAU STATE HISTORIC SITE,DOSP,Oahu,4.02177459
203,nhp,KALAUPAPA NATIONAL HISTORICAL PARK,USNPS,Molokai,103.8228047
19,fr,HAUULA FOREST RESERVE,DOFAW,Oahu,1416.063253
53,sxp,HANAUMA BAY STATE UNDERWATER PARK,DOSP,Oahu,100.609149
54,sm,DIAMOND HEAD STATE MONUMENT,DOSP,Oahu,502.646149
20,sp,SACRED FALLS STATE PARK  ***CLOSED***,DOSP,Oahu,995.9877806
35,sp,HEEIA STATE PARK,DOSP,Oahu,13.11674081
21,fr,KAIPAPAU FOREST RESERVE,DOFAW,Oahu,970.1103862
22,gma,KUAOKALA GAME MANAGEMENT AREA,DOFAW,Oahu,1904.774442
23,sp,AHUPUAA O KAHANA STATE PARK,DOSP,Oahu,5216.144174
24,fr,KUAOKALA FOREST RESERVE,DOFAW,Oahu,372.2138679
25,fr,MOKULEIA FOREST RESERVE,DOFAW,Oahu,563.8322609
36,ws,MOKULEA ROCK ISLET SEABIRD SANCTUARY,DOFAW,Oahu,0.48806166
59,sp,PALAAU STATE PARK,DOSP,Molokai,231.579574
26,nar,PAHOLE NATURAL AREA RESERVE,DOFAW,Oahu,658.2271836
27,fr,EWA FOREST RESERVE (POAMOHO SEC.),DOFAW,Oahu,4622.894951
28,sp,KAENA POINT STATE PARK,DOSP,Oahu,1562.794
45,sp,PUU UALAKAA STATE WAYSIDE,DOSP,Oahu,82.76581633
60,ws,OKALA ISLET SEABIRD SANCTUARY,DOFAW,Molokai,5.30076833
29,nar,KAALA NATURAL AREA RESERVE,DOFAW,Oahu,1086.481344
30,fr,WAIANAE KAI FOREST RESERVE,DOFAW,Oahu,2324.630513
46,sra,MAKIKI VALLEY STATE RECREATION AREA,DOSP,Oahu,17.29471377
47,sra,SAND ISLAND STATE RECREATION AREA,DOSP,Oahu,144.2265881
48,sss,KAIWI SCENIC SHORELINE,DOSP,Oahu,359.1974882
31,sra,WAHIAWA FRESHWATER STATE RECREATION AREA,DOSP,Oahu,67.09825436
32,ws,MOKU MANU ISLETS SEABIRD SANCTUARY,DOFAW,Oahu,15.19863861
33,ws,KEKEPA ISLET SEABIRD SANCTUARY,DOFAW,Oahu,0.69612535
34,fr,EWA FOREST RESERVE (WAIMANO SEC.),DOFAW,Oahu,2548.684065
61,ws,HUELO ISLET SEABIRD SANCTUARY,DOFAW,Molokai,1.31469893
62,tnc,PELEKUNU PRESERVE (NATURE CONSERVANCY),TNC,Molokai,5400.392212
63,ws,MOKUMANU ISLET SEABIRD SANCTUARY,DOFAW,Molokai,0.92798089
37,sra,KEAIWA HEIAU STATE RECREATION AREA,DOSP,Oahu,385.1720558
38,ws,POPOIA SEABIRD SANCTUARY,DOFAW,Oahu,3.74114315
39,ws,MOKULUA ISLETS SEABIRD SANCTUARY,DOFAW,Oahu,21.3053728
40,sra,AIEA BAY STATE RECREATION AREA,DOSP,Oahu,6.14384561
41,sw,NUUANU PALI STATE WAYSIDE,DOSP,Oahu,3.29169855
42,ws,MANANA ISLAND SEABIRD SANCTUARY,DOFAW,Oahu,66.79660398
43,sm,ROYAL MAUSOLEUM STATE MONUMENT,DOSP,Oahu,6.59418769
44,ws,KAOHIKAIPU ISLET SEABIRD SANCTUARY,DOFAW,Oahu,10.28631507
52,ws,PAIKO LAGOON WILDLIFE SANCTUARY,DOFAW,Oahu,39.40137683
49,sra,WAAHILA RIDGE STATE RECREATION AREA,DOSP,Oahu,49.44508491
50,sm,IOLANI PALACE STATE MONUMENT,DOSP,Oahu,10.96962942
51,fr,KAU FOREST RESERVE (KAPAPALA SEC.),DOFAW,Hawaii,1243.823195
55,nar,KAENA POINT NATURAL AREA RESERVE,DOFAW,Oahu,75.84654412
72,fr,WEST MAUI FOREST RESERVE,DOFAW,Maui,2136.117758
205,fr,SOUTH KONA FOREST RESERVE (KAOHE SEC.),DOFAW,Hawaii,1531.733415
56,fr,PUPUKEA FOREST RESERVE,DOFAW,Oahu,781.9734109
57,tnc,MOOMOMI PRESERVE (NATURE CONSERVANCY),TNC,Molokai,924.5810778
58,ws,MOKAPU ISLET SEABIRD SANCTUARY,DOFAW,Molokai,11.25656161
256,nwr,KEALIA POND NATIONAL WILDLIFE REFUGE,USFWS,Maui,58.40834924
64,nar,OLOKUI NATURAL AREA RESERVE,DOFAW,Molokai,1682.901842
77,fr,WEST MAUI FOREST RESERVE,DOFAW,Maui,218.4039881
65,nar,PUU ALII NATURAL AREA RESERVE,DOFAW,Molokai,1320.527342
66,ws,MOKUHOONIKI ISLET SEABIRD SANCTUARY,DOFAW,Molokai,9.53877172
67,ws,KANAHA ROCK ISLET SEABIRD SANCTUARY,DOFAW,Molokai,0.87724558
68,nhp,KALAUPAPA NATIONAL HISTORICAL PARK,USNPS,Molokai,5868.001226
69,tnc,KAMAKOU PRESERVE (NATURE CONSERVANCY),TNC,Molokai,2633.229357
94,ws,MOKU MANA ISLET SEABIRD SANCTUARY,DOFAW,Maui,1.10602728
70,gma,KAHAKULOA GAME MANAGEMENT AREA,DOFAW,Maui,1231.582462
71,mlcd,HONOLUA-MOKULEIA MARINE LIFE CONSERVATION DISTRICT,DOAR,Maui,43.24908411
73,nar,WEST MAUI NATURAL AREA RESERVE (KAHAKULOA SEC),DOFAW,Maui,3492.827647
74,fr,WEST MAUI FOREST RESERVE,DOFAW,Maui,403.9221679
75,r,KAPUNA SPRING WATER RESERVE,Maui County,Molokai,5.57192879
76,fr,WEST MAUI FOREST RESERVE,DOFAW,Maui,33.99785159
78,tnc,KAPUNAKEA PRESERVE (NATURE CONSERVANCY),TNC,Maui,1339.787381
79,fr,WEST MAUI FOREST RESERVE,DOFAW,Maui,30.85503833
80,nar,WEST MAUI NATURAL AREA RESERVE (HONOKOWAI SEC),DOFAW,Maui,734.1333919
81,fr,WEST MAUI FOREST RESERVE,DOFAW,Maui,34.2715676
82,fr,WEST MAUI FOREST RESERVE,DOFAW,Maui,269.5425258
83,fr,WEST MAUI FOREST RESERVE,DOFAW,Maui,416.5488611
84,fr,WEST MAUI FOREST RESERVE,DOFAW,Maui,41.67293453
85,fr,KOOLAU FOREST RESERVE,DOFAW,Maui,17.83302039
