OBJECTID,tmk,tmk_txt,cty_tmk,majorowner,bigstowner,taxacres,landvalue,landexempt,bldgvalue,bldgexempt,pittcode,homeowner,gisacres,nhoodcode,qpub_link,ORIG_FID,x,y,lost,property_class
1,313009026,313009026,13009026,other,other,105.11,25800,0,0,0,500,N,112.9135289,L1000-3,http://qpublic9.qpublic.net/hi_hawaii_display.php?county=hi_hawaii&KEY=130090260000,29605,-154.9527845,19.46249794,N,AGRICULTURAL
2,313003045,313003045,13003045,other,other,3.9836,116900,0,77300,0,500,N,3.57410521,1323-5,http://qpublic9.qpublic.net/hi_hawaii_display.php?county=hi_hawaii&KEY=130030450000,29632,-154.8785304,19.43033978,N,AGRICULTURAL
3,313004001,313004001,13004001,other,other,10.95,175200,0,0,0,600,N,9.18068929,1331-6,http://qpublic9.qpublic.net/hi_hawaii_display.php?county=hi_hawaii&KEY=130040010000,29633,-154.8792241,19.426722,N,CONSERVATION
4,313004003,313004003,13004003,other,other,0.11,100,100,0,0,600,N,0.10935302,1100,http://qpublic9.qpublic.net/hi_hawaii_display.php?county=hi_hawaii&KEY=130040030000,29634,-154.8802611,19.42673747,N,CONSERVATION
5,313007001,313007001,13007001,Govt. State,Govt. State,8.8,239000,239000,0,0,600,N,7.89881837,1331-6,http://qpublic9.qpublic.net/hi_hawaii_display.php?county=hi_hawaii&KEY=130070010000,29635,-154.8702191,19.43534458,N,CONSERVATION
6,313007002,313007002,13007002,Govt. County of Hawaii,Govt. County,5.28,152300,152300,0,0,600,N,5.4035064,1331-6,http://qpublic9.qpublic.net/hi_hawaii_display.php?county=hi_hawaii&KEY=130070020000,29636,-154.870132,19.43549888,N,''
7,313003044,313003044,13003044,other,other,4.02,12600,0,8100,0,500,N,4.18012587,1323-5,http://qpublic9.qpublic.net/hi_hawaii_display.php?county=hi_hawaii&KEY=130030440000,29637,-154.8789508,19.43005334,N,AGRICULTURAL
8,313003005,313003005,13003005,Kamehameha Schools,Kamehameha Schools,9.8,131800,0,0,0,600,N,12.54169779,1331-6,http://qpublic9.qpublic.net/hi_hawaii_display.php?county=hi_hawaii&KEY=130030050000,29638,-154.8737166,19.43229488,N,CONSERVATION
9,313003003,313003003,13003003,other,other,4.99,181400,0,60500,0,600,N,4.1714653,1331-6,http://qpublic9.qpublic.net/hi_hawaii_display.php?county=hi_hawaii&KEY=130030030000,29639,-154.8773017,19.42886853,N,CONSERVATION
10,313007005,313007005,13007005,other,other,5,145400,0,0,0,600,N,5.86816041,1331-6,http://qpublic9.qpublic.net/hi_hawaii_display.php?county=hi_hawaii&KEY=130070050000,29640,-154.8677494,19.43660225,N,CONSERVATION
11,313007003,313007003,13007003,Govt. County of Hawaii,Govt. County,0.82,42300,42300,0,0,600,N,0.54877967,1331-6,http://qpublic9.qpublic.net/hi_hawaii_display.php?county=hi_hawaii&KEY=130070030000,29641,-154.870727,19.43599958,N,CONSERVATION
